CHAPTER,DIAGNOSIS_CODE,TITLE,SHORT_DESC,LONG_DESC
II,1869,Neoplasms,Malig neo testis NEC,Malignant neoplasm of other and unspecified testis
II,1871,Neoplasms,Malign neopl prepuce,Malignant neoplasm of prepuce
II,1872,Neoplasms,Malig neo glans penis,Malignant neoplasm of glans penis
II,1873,Neoplasms,Malig neo penis body,Malignant neoplasm of body of penis
II,1874,Neoplasms,Malig neo penis NOS,"Malignant neoplasm of penis, part unspecified"
II,1875,Neoplasms,Malig neo epididymis,Malignant neoplasm of epididymis
II,1876,Neoplasms,Mal neo spermatic cord,Malignant neoplasm of spermatic cord
II,1877,Neoplasms,Malign neopl scrotum,Malignant neoplasm of scrotum
II,1878,Neoplasms,Mal neo male genital NEC,Malignant neoplasm of other specified sites of male genital organs
II,1879,Neoplasms,Mal neo male genital NOS,"Malignant neoplasm of male genital organ, site unspecified"
II,1880,Neoplasms,Mal neo bladder-trigone,Malignant neoplasm of trigone of urinary bladder
II,1881,Neoplasms,Mal neo bladder-dome,Malignant neoplasm of dome of urinary bladder
II,1882,Neoplasms,Mal neo bladder-lateral,Malignant neoplasm of lateral wall of urinary bladder
II,1883,Neoplasms,Mal neo bladder-anterior,Malignant neoplasm of anterior wall of urinary bladder
II,1884,Neoplasms,Mal neo bladder-post,Malignant neoplasm of posterior wall of urinary bladder
II,1885,Neoplasms,Mal neo bladder neck,Malignant neoplasm of bladder neck
II,1886,Neoplasms,Mal neo ureteric orifice,Malignant neoplasm of ureteric orifice
II,1887,Neoplasms,Malig neo urachus,Malignant neoplasm of urachus
II,1888,Neoplasms,Malig neo bladder NEC,Malignant neoplasm of other specified sites of bladder
II,1889,Neoplasms,Malig neo bladder NOS,"Malignant neoplasm of bladder, part unspecified"
II,1890,Neoplasms,Malig neopl kidney,"Malignant neoplasm of kidney, except pelvis"
II,1891,Neoplasms,Malig neo renal pelvis,Malignant neoplasm of renal pelvis
II,1892,Neoplasms,Malign neopl ureter,Malignant neoplasm of ureter
II,1893,Neoplasms,Malign neopl urethra,Malignant neoplasm of urethra
II,1894,Neoplasms,Mal neo paraurethral,Malignant neoplasm of paraurethral glands
II,1898,Neoplasms,Mal neo urinary NEC,Malignant neoplasm of other specified sites of urinary organs
II,1899,Neoplasms,Mal neo urinary NOS,"Malignant neoplasm of urinary organ, site unspecified"
II,1900,Neoplasms,Malign neopl eyeball,"Malignant neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid"
II,1901,Neoplasms,Malign neopl orbit,Malignant neoplasm of orbit
II,1902,Neoplasms,Mal neo lacrimal gland,Malignant neoplasm of lacrimal gland
II,1903,Neoplasms,Mal neo conjunctiva,Malignant neoplasm of conjunctiva
II,1904,Neoplasms,Malign neopl cornea,Malignant neoplasm of cornea
II,1905,Neoplasms,Malign neopl retina,Malignant neoplasm of retina
II,1906,Neoplasms,Malign neopl choroid,Malignant neoplasm of choroid
II,1907,Neoplasms,Mal neo lacrimal duct,Malignant neoplasm of lacrimal duct
II,1908,Neoplasms,Malign neopl eye NEC,Malignant neoplasm of other specified sites of eye
II,1909,Neoplasms,Malign neopl eye NOS,"Malignant neoplasm of eye, part unspecified"
II,1910,Neoplasms,Malign neopl cerebrum,"Malignant neoplasm of cerebrum, except lobes and ventricles"
II,1911,Neoplasms,Malig neo frontal lobe,Malignant neoplasm of frontal lobe
II,1912,Neoplasms,Mal neo temporal lobe,Malignant neoplasm of temporal lobe
II,1913,Neoplasms,Mal neo parietal lobe,Malignant neoplasm of parietal lobe
II,1914,Neoplasms,Mal neo occipital lobe,Malignant neoplasm of occipital lobe
II,1915,Neoplasms,Mal neo cereb ventricle,Malignant neoplasm of ventricles
II,1916,Neoplasms,Mal neo cerebellum NOS,Malignant neoplasm of cerebellum nos
II,1917,Neoplasms,Mal neo brain stem,Malignant neoplasm of brain stem
II,1918,Neoplasms,Malig neo brain NEC,Malignant neoplasm of other parts of brain
II,1919,Neoplasms,Malig neo brain NOS,"Malignant neoplasm of brain, unspecified"
II,1920,Neoplasms,Mal neo cranial nerves,Malignant neoplasm of cranial nerves
II,1921,Neoplasms,Mal neo cerebral mening,Malignant neoplasm of cerebral meninges
II,1922,Neoplasms,Mal neo spinal cord,Malignant neoplasm of spinal cord
II,1923,Neoplasms,Mal neo spinal meninges,Malignant neoplasm of spinal meninges
II,1928,Neoplasms,Mal neo nervous syst NEC,Malignant neoplasm of other specified sites of nervous system
II,1929,Neoplasms,Mal neo nervous syst NOS,"Malignant neoplasm of nervous system, part unspecified"
II,193,Neoplasms,Malign neopl thyroid,Malignant neoplasm of thyroid gland
II,1940,Neoplasms,Malign neopl adrenal,Malignant neoplasm of adrenal gland
II,1941,Neoplasms,Malig neo parathyroid,Malignant neoplasm of parathyroid gland
II,1943,Neoplasms,Malig neo pituitary,Malignant neoplasm of pituitary gland and craniopharyngeal duct
II,1944,Neoplasms,Malign neo pineal gland,Malignant neoplasm of pineal gland
II,1945,Neoplasms,Mal neo carotid body,Malignant neoplasm of carotid body
II,1946,Neoplasms,Mal neo paraganglia NEC,Malignant neoplasm of aortic body and other paraganglia
II,1948,Neoplasms,Mal neo endocrine NEC,Malignant neoplasm of other endocrine glands and related structures
II,1949,Neoplasms,Mal neo endocrine NOS,"Malignant neoplasm of endocrine gland, site unspecified"
II,1950,Neoplasms,Mal neo head/face/neck,"Malignant neoplasm of head, face, and neck"
II,1951,Neoplasms,Malign neopl thorax,Malignant neoplasm of thorax
II,1952,Neoplasms,Malig neo abdomen,Malignant neoplasm of abdomen
II,1953,Neoplasms,Malign neopl pelvis,Malignant neoplasm of pelvis
II,1954,Neoplasms,Malign neopl arm,Malignant neoplasm of upper limb
II,1955,Neoplasms,Malign neopl leg,Malignant neoplasm of lower limb
II,1958,Neoplasms,Malig neo site NEC,Malignant neoplasm of other specified sites
II,1960,Neoplasms,Mal neo lymph-head/neck,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck"
II,1961,Neoplasms,Mal neo lymph-intrathor,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
II,1962,Neoplasms,Mal neo lymph intra-abd,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
II,1963,Neoplasms,Mal neo lymph-axilla/arm,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb
II,1965,Neoplasms,Mal neo lymph-inguin/leg,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb
II,1966,Neoplasms,Mal neo lymph-intrapelv,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
II,1968,Neoplasms,Mal neo lymph node-mult,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites
II,1969,Neoplasms,Mal neo lymph node NOS,"Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified"
II,1970,Neoplasms,Secondary malig neo lung,Secondary malignant neoplasm of lung
II,1971,Neoplasms,Sec mal neo mediastinum,Secondary malignant neoplasm of mediastinum
II,1972,Neoplasms,Second malig neo pleura,Secondary malignant neoplasm of pleura
II,1973,Neoplasms,Sec malig neo resp NEC,Secondary malignant neoplasm of other respiratory organs
II,1974,Neoplasms,Sec malig neo sm bowel,Secondary malignant neoplasm of small intestine including duodenum
II,1975,Neoplasms,Sec malig neo lg bowel,Secondary malignant neoplasm of large intestine and rectum
II,1976,Neoplasms,Sec mal neo peritoneum,Secondary malignant neoplasm of retroperitoneum and peritoneum
II,1977,Neoplasms,Second malig neo liver,"Malignant neoplasm of liver, secondary"
II,1978,Neoplasms,Sec mal neo GI NEC,Secondary malignant neoplasm of other digestive organs and spleen
II,1980,Neoplasms,Second malig neo kidney,Secondary malignant neoplasm of kidney
II,1981,Neoplasms,Sec malig neo urin NEC,Secondary malignant neoplasm of other urinary organs
II,1982,Neoplasms,Secondary malig neo skin,Secondary malignant neoplasm of skin
II,1983,Neoplasms,Sec mal neo brain/spine,Secondary malignant neoplasm of brain and spinal cord
II,1984,Neoplasms,Sec malig neo nerve NEC,Secondary malignant neoplasm of other parts of nervous system
II,1985,Neoplasms,Secondary malig neo bone,Secondary malignant neoplasm of bone and bone marrow
II,1986,Neoplasms,Second malig neo ovary,Secondary malignant neoplasm of ovary
II,1987,Neoplasms,Second malig neo adrenal,Secondary malignant neoplasm of adrenal gland
II,19881,Neoplasms,Second malig neo breast,Secondary malignant neoplasm of breast
II,19882,Neoplasms,Second malig neo genital,Secondary malignant neoplasm of genital organs
II,19889,Neoplasms,Secondary malig neo NEC,Secondary malignant neoplasm of other specified sites
II,1990,Neoplasms,Malig neo disseminated,Disseminated malignant neoplasm without specification of site
II,1991,Neoplasms,Malignant neoplasm NOS,Other malignant neoplasm without specification of site
II,1992,Neoplasms,Malig neopl-transp organ,Malignant neoplasm associated with transplant organ
II,20000,Neoplasms,Retclsrc unsp xtrndl org,"Reticulosarcoma, unspecified site, extranodal and solid organ sites"
II,20001,Neoplasms,Reticulosarcoma head,"Reticulosarcoma, lymph nodes of head, face, and neck"
II,20002,Neoplasms,Reticulosarcoma thorax,"Reticulosarcoma, intrathoracic lymph nodes"
II,20003,Neoplasms,Reticulosarcoma abdom,"Reticulosarcoma, intra-abdominal lymph nodes"
II,20004,Neoplasms,Reticulosarcoma axilla,"Reticulosarcoma, lymph nodes of axilla and upper limb"
II,20005,Neoplasms,Reticulosarcoma inguin,"Reticulosarcoma, lymph nodes of inguinal region and lower limb"
II,20006,Neoplasms,Reticulosarcoma pelvic,"Reticulosarcoma, intrapelvic lymph nodes"
II,20007,Neoplasms,Reticulosarcoma spleen,"Reticulosarcoma, spleen"
II,20008,Neoplasms,Reticulosarcoma mult,"Reticulosarcoma, lymph nodes of multiple sites"
II,20010,Neoplasms,Lymphsrc unsp xtrndl org,"Lymphosarcoma, unspecified site, extranodal and solid organ sites"
II,20011,Neoplasms,Lymphosarcoma head,"Lymphosarcoma, lymph nodes of head, face, and neck"
II,20012,Neoplasms,Lymphosarcoma thorax,"Lymphosarcoma, intrathoracic lymph nodes"
II,20013,Neoplasms,Lymphosarcoma abdom,"Lymphosarcoma, intra-abdominal lymph nodes"
II,20014,Neoplasms,Lymphosarcoma axilla,"Lymphosarcoma, lymph nodes of axilla and upper limb"
II,20015,Neoplasms,Lymphosarcoma inguin,"Lymphosarcoma, lymph nodes of inguinal region and lower limb"
II,20016,Neoplasms,Lymphosarcoma pelvic,"Lymphosarcoma, intrapelvic lymph nodes"
II,20017,Neoplasms,Lymphosarcoma spleen,"Lymphosarcoma, spleen"
II,20018,Neoplasms,Lymphosarcoma mult,"Lymphosarcoma, lymph nodes of multiple sites"
II,20020,Neoplasms,Brkt tmr unsp xtrndl org,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites"
II,20021,Neoplasms,Burkitt's tumor head,"Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck"
II,20022,Neoplasms,Burkitt's tumor thorax,"Burkitt's tumor or lymphoma, intrathoracic lymph nodes"
II,20023,Neoplasms,Burkitt's tumor abdom,"Burkitt's tumor or lymphoma, intra-abdominal lymph nodes"
II,20024,Neoplasms,Burkitt's tumor axilla,"Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb"
II,20025,Neoplasms,Burkitt's tumor inguin,"Burkitt's tumor or lymphoma, lymph nodes of inguinal region and lower limb"
II,20026,Neoplasms,Burkitt's tumor pelvic,"Burkitt's tumor or lymphoma, intrapelvic lymph nodes"
II,20027,Neoplasms,Burkitt's tumor spleen,"Burkitt's tumor or lymphoma, spleen"
II,20028,Neoplasms,Burkitt's tumor mult,"Burkitt's tumor or lymphoma, lymph nodes of multiple sites"
II,20030,Neoplasms,Margnl zone lym xtrndl,"Marginal zone lymphoma, unspecified site, extranodal and solid organ sites"
II,20031,Neoplasms,Margin zone lym head,"Marginal zone lymphoma, lymph nodes of head, face, and neck"
II,20032,Neoplasms,Margin zone lym thorax,"Marginal zone lymphoma, intrathoracic lymph nodes"
II,20033,Neoplasms,Margin zone lym abdom,"Marginal zone lymphoma, intraabdominal lymph nodes"
II,20034,Neoplasms,Margin zone lym axilla,"Marginal zone lymphoma, lymph nodes of axilla and upper limb"
II,20035,Neoplasms,Margin zone lym inguin,"Marginal zone lymphoma, lymph nodes of inguinal region and lower limb"
II,20036,Neoplasms,Margin zone lym pelvic,"Marginal zone lymphoma, intrapelvic lymph nodes"
II,20037,Neoplasms,Margin zone lymph spleen,"Marginal zone lymphoma, spleen"
II,20038,Neoplasms,Margin zone lymph multip,"Marginal zone lymphoma, lymph nodes of multiple sites"
II,20040,Neoplasms,Mantle cell lym xtrrndl,"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites"
II,20041,Neoplasms,Mantle cell lymph head,"Mantle cell lymphoma, lymph nodes of head, face, and neck"
II,20042,Neoplasms,Mantle cell lymph thorax,"Mantle cell lymphoma, intrathoracic lymph nodes"
II,20043,Neoplasms,Mantle cell lymph abdom,"Mantle cell lymphoma, intra-abdominal lymph nodes"
II,20044,Neoplasms,Mantle cell lymph axilla,"Mantle cell lymphoma, lymph nodes of axilla and upper limb"
II,20045,Neoplasms,Mantle cell lymph inguin,"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb"
II,20046,Neoplasms,Mantle cell lymph pelvic,"Mantle cell lymphoma, intrapelvic lymph nodes"
II,20047,Neoplasms,Mantle cell lymph spleen,"Mantle cell lymphoma, spleen"
II,20048,Neoplasms,Mantle cell lymph multip,"Mantle cell lymphoma, lymph nodes of multiple sites"
II,20050,Neoplasms,Primary CNS lymph xtrndl,"Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites"
II,20051,Neoplasms,Primary CNS lymph head,"Primary central nervous system lymphoma, lymph nodes of head, face, and neck"
II,20052,Neoplasms,Primary CNS lymph thorax,"Primary central nervous system lymphoma, intrathoracic lymph nodes"
II,20053,Neoplasms,Primary CNS lymph abdom,"Primary central nervous system lymphoma, intra-abdominal lymph nodes"
II,20054,Neoplasms,Primary CNS lymph axilla,"Primary central nervous system lymphoma, lymph nodes of axilla and upper limb"
II,20055,Neoplasms,Primary CNS lym inguin,"Primary central nervous system lymphoma, lymph nodes of inguinal region and lower limb"
II,20056,Neoplasms,Primary CNS lymph pelvic,"Primary central nervous system lymphoma, intrapelvic lymph nodes"
II,20057,Neoplasms,Primary CNS lymph spleen,"Primary central nervous system lymphoma, spleen"
II,20058,Neoplasms,Primary CNS lymph multip,"Primary central nervous system lymphoma, lymph nodes of multiple sites"
II,20060,Neoplasms,Anaplastic lymph xtrndl,"Anaplastic large cell lymphoma, unspecified site, extranodal and solid organ sites"
II,20061,Neoplasms,Anaplastic lymph head,"Anaplastic large cell lymphoma, lymph nodes of head, face, and neck"
II,20062,Neoplasms,Anaplastic lymph thorax,"Anaplastic large cell lymphoma, intrathoracic lymph nodes"
II,20063,Neoplasms,Anaplastic lymph abdom,"Anaplastic large cell lymphoma, intra-abdominal lymph nodes"
II,20064,Neoplasms,Anaplastic lymph axilla,"Anaplastic large cell lymphoma, lymph nodes of axilla and upper limb"
II,20065,Neoplasms,Anaplastic lymph inguin,"Anaplastic large cell lymphoma, lymph nodes of inguinal region and lower limb"
II,20066,Neoplasms,Anaplastic lymph pelvic,"Anaplastic large cell lymphoma, intrapelvic lymph nodes"
II,20067,Neoplasms,Anaplastic lymph spleen,"Anaplastic large cell lymphoma, spleen"
II,20068,Neoplasms,Anaplastic lymph multip,"Anaplastic large cell lymphoma, lymph nodes of multiple sites"
II,20070,Neoplasms,Large cell lymph xtrndl,"Large cell lymphoma, unspecified site, extranodal and solid organ sites"
II,20071,Neoplasms,Large cell lymphoma head,"Large cell lymphoma, lymph nodes of head, face, and neck"
II,20072,Neoplasms,Large cell lymph thorax,"Large cell lymphoma, intrathoracic lymph nodes"
II,20073,Neoplasms,Large cell lymph abdom,"Large cell lymphoma, intra-abdominal lymph nodes"
II,20074,Neoplasms,Large cell lymph axilla,"Large cell lymphoma, lymph nodes of axilla and upper limb"
II,20075,Neoplasms,Large cell lymph inguin,"Large cell lymphoma, lymph nodes of inguinal region and lower limb"
II,20076,Neoplasms,Large cell lymph pelvic,"Large cell lymphoma, intrapelvic lymph nodes"
II,20077,Neoplasms,Large cell lymph spleen,"Large cell lymphoma, spleen"
II,20078,Neoplasms,Large cell lymph multip,"Large cell lymphoma, lymph nodes of multiple sites"
II,20080,Neoplasms,Oth varn unsp xtrndl org,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites"
II,20081,Neoplasms,Mixed lymphosarc head,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of head, face, and neck"
II,20082,Neoplasms,Mixed lymphosarc thorax,"Other named variants of lymphosarcoma and reticulosarcoma,intrathoracic lymph nodes"
II,20083,Neoplasms,Mixed lymphosarc abdom,"Other named variants of lymphosarcoma and reticulosarcoma, intra-abdominal lymph nodes"
II,20084,Neoplasms,Mixed lymphosarc axilla,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of axilla and upper limb"
II,20085,Neoplasms,Mixed lymphosarc inguin,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of inguinal region and lower limb"
II,20086,Neoplasms,Mixed lymphosarc pelvic,"Other named variants of lymphosarcoma and reticulosarcoma, intrapelvic lymph nodes"
II,20087,Neoplasms,Mixed lymphosarc spleen,"Other named variants of lymphosarcoma and reticulosarcoma, spleen"
II,20088,Neoplasms,Mixed lymphosarc mult,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of multiple sites"
II,20100,Neoplasms,Hdgk prg unsp xtrndl org,"Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites"
II,20101,Neoplasms,Hodgkins paragran head,"Hodgkin's paragranuloma, lymph nodes of head, face, and neck"
II,20102,Neoplasms,Hodgkins paragran thorax,"Hodgkin's paragranuloma, intrathoracic lymph nodes"
II,20103,Neoplasms,Hodgkins paragran abdom,"Hodgkin's paragranuloma, intra-abdominal lymph nodes"
II,20104,Neoplasms,Hodgkins paragran axilla,"Hodgkin's paragranuloma, lymph nodes of axilla and upper limb"
II,20105,Neoplasms,Hodgkins paragran inguin,"Hodgkin's paragranuloma, lymph nodes of inguinal region and lower limb"
II,20106,Neoplasms,Hodgkins paragran pelvic,"Hodgkin's paragranuloma, intrapelvic lymph nodes"
II,20107,Neoplasms,Hodgkins paragran spleen,"Hodgkin's paragranuloma, spleen"
II,20108,Neoplasms,Hodgkins paragran mult,"Hodgkin's paragranuloma, lymph nodes of multiple sites"
II,20110,Neoplasms,Hdgk grn unsp xtrndl org,"Hodgkin's granuloma, unspecified site, extranodal and solid organ sites"
II,20111,Neoplasms,Hodgkins granulom head,"Hodgkin's granuloma, lymph nodes of head, face, and neck"
II,20112,Neoplasms,Hodgkins granulom thorax,"Hodgkin's granuloma, intrathoracic lymph nodes"
II,20113,Neoplasms,Hodgkins granulom abdom,"Hodgkin's granuloma, intra-abdominal lymph nodes"
II,20114,Neoplasms,Hodgkins granulom axilla,"Hodgkin's granuloma, lymph nodes of axilla and upper limb"
II,20115,Neoplasms,Hodgkins granulom inguin,"Hodgkin's granuloma, lymph nodes of inguinal region and lower limb"
II,20116,Neoplasms,Hodgkins granulom pelvic,"Hodgkin's granuloma, intrapelvic lymph nodes"
II,20117,Neoplasms,Hodgkins granulom spleen,"Hodgkin's granuloma, spleen"
II,20118,Neoplasms,Hodgkins granulom mult,"Hodgkin's granuloma, lymph nodes of multiple sites"
II,20120,Neoplasms,Hdgk src unsp xtrndl org,"Hodgkin's sarcoma, unspecified site, extranodal and solid organ sites"
II,20121,Neoplasms,Hodgkins sarcoma head,"Hodgkin's sarcoma, lymph nodes of head, face, and neck"
II,20122,Neoplasms,Hodgkins sarcoma thorax,"Hodgkin's sarcoma, intrathoracic lymph nodes"
II,20123,Neoplasms,Hodgkins sarcoma abdom,"Hodgkin's sarcoma, intra-abdominal lymph nodes"
II,20124,Neoplasms,Hodgkins sarcoma axilla,"Hodgkin's sarcoma, lymph nodes of axilla and upper limb"
II,20125,Neoplasms,Hodgkins sarcoma inguin,"Hodgkin's sarcoma, lymph nodes of inguinal region and lower limb"
II,20126,Neoplasms,Hodgkins sarcoma pelvic,"Hodgkin's sarcoma, intrapelvic lymph nodes"
II,20127,Neoplasms,Hodgkins sarcoma spleen,"Hodgkin's sarcoma, spleen"
II,20128,Neoplasms,Hodgkins sarcoma mult,"Hodgkin's sarcoma, lymph nodes of multiple sites"
II,20140,Neoplasms,Lym-hst unsp xtrndl orgn,"Hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites"
II,20141,Neoplasms,Hodg lymph-histio head,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of head, face, and neck"
II,20142,Neoplasms,Hodg lymph-histio thorax,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrathoracic lymph nodes"
II,20143,Neoplasms,Hodg lymph-histio abdom,"Hodgkin's disease, lymphocytic-histiocytic predominance, intra-abdominal lymph nodes"
II,20144,Neoplasms,Hodg lymph-histio axilla,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of axilla and upper limb"
II,20145,Neoplasms,Hodg lymph-histio inguin,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of inguinal region and lower limb"
II,20146,Neoplasms,Hodg lymph-histio pelvic,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrapelvic lymph nodes"
II,20147,Neoplasms,Hodg lymph-histio spleen,"Hodgkin's disease, lymphocytic-histiocytic predominance, spleen"
II,20148,Neoplasms,Hodg lymph-histio mult,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of multiple sites"
II,20150,Neoplasms,Ndr sclr unsp xtrndl org,"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites"
II,20151,Neoplasms,Hodg nodul sclero head,"Hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck"
II,20152,Neoplasms,Hodg nodul sclero thorax,"Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes"
II,20153,Neoplasms,Hodg nodul sclero abdom,"Hodgkin's disease, nodular sclerosis, intra-abdominal lymph nodes"
II,20154,Neoplasms,Hodg nodul sclero axilla,"Hodgkin's disease, nodular sclerosis, lymph nodes of axilla and upper limb"
II,20155,Neoplasms,Hodg nodul sclero inguin,"Hodgkin's disease, nodular sclerosis, lymph nodes of inguinal region and lower limb"
II,20156,Neoplasms,Hodg nodul sclero pelvic,"Hodgkin's disease, nodular sclerosis, intrapelvic lymph nodes"
II,20157,Neoplasms,Hodg nodul sclero spleen,"Hodgkin's disease, nodular sclerosis, spleen"
II,20158,Neoplasms,Hodg nodul sclero mult,"Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites"
II,20160,Neoplasms,Mxd celr unsp xtrndl org,"Hodgkin's disease, mixed cellularity, unspecified site, extranodal and solid organ sites"
II,20161,Neoplasms,Hodgkins mix cell head,"Hodgkin's disease, mixed cellularity, lymph nodes of head, face, and neck"
II,20162,Neoplasms,Hodgkins mix cell thorax,"Hodgkin's disease, mixed cellularity, intrathoracic lymph nodes"
II,20163,Neoplasms,Hodgkins mix cell abdom,"Hodgkin's disease, mixed cellularity, intra-abdominal lymph nodes"
II,20164,Neoplasms,Hodgkins mix cell axilla,"Hodgkin's disease, mixed cellularity, lymph nodes of axilla and upper limb"
II,20165,Neoplasms,Hodgkins mix cell inguin,"Hodgkin's disease, mixed cellularity, lymph nodes of inguinal region and lower limb"
II,20166,Neoplasms,Hodgkins mix cell pelvic,"Hodgkin's disease, mixed cellularity, intrapelvic lymph nodes"
II,20167,Neoplasms,Hodgkins mix cell spleen,"Hodgkin's disease, mixed cellularity, spleen"
II,20168,Neoplasms,Hodgkins mix cell mult,"Hodgkin's disease, mixed cellularity, lymph nodes of multiple sites"
II,20170,Neoplasms,Lym dplt unsp xtrndl org,"Hodgkin's disease, lymphocytic depletion, unspecified site, extranodal and solid organ sites"
II,20171,Neoplasms,Hodg lymph deplet head,"Hodgkin's disease, lymphocytic depletion, lymph nodes of head, face, and neck"
II,20172,Neoplasms,Hodg lymph deplet thorax,"Hodgkin's disease, lymphocytic depletion, intrathoracic lymph nodes"
II,20173,Neoplasms,Hodg lymph deplet abdom,"Hodgkin's disease, lymphocytic depletion, intra-abdominal lymph nodes"
II,20174,Neoplasms,Hodg lymph deplet axilla,"Hodgkin's disease, lymphocytic depletion, lymph nodes of axilla and upper limb"
II,20175,Neoplasms,Hodg lymph deplet inguin,"Hodgkin's disease, lymphocytic depletion, lymph nodes of inguinal region and lower limb"
II,20176,Neoplasms,Hodg lymph deplet pelvic,"Hodgkin's disease, lymphocytic depletion, intrapelvic lymph nodes"
II,20177,Neoplasms,Hodg lymph deplet spleen,"Hodgkin's disease, lymphocytic depletion, spleen"
II,20178,Neoplasms,Hodg lymph deplet mult,"Hodgkin's disease, lymphocytic depletion, lymph nodes of multiple sites"
II,20190,Neoplasms,Hdgk dis unsp xtrndl org,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites"
II,20191,Neoplasms,Hodgkins dis NOS head,"Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck"
II,20192,Neoplasms,Hodgkins dis NOS thorax,"Hodgkin's disease, unspecified type, intrathoracic lymph nodes"
II,20193,Neoplasms,Hodgkins dis NOS abdom,"Hodgkin's disease, unspecified type, intra-abdominal lymph nodes"
II,20194,Neoplasms,Hodgkins dis NOS axilla,"Hodgkin's disease, unspecified type, lymph nodes of axilla and upper limb"
II,20195,Neoplasms,Hodgkins dis NOS inguin,"Hodgkin's disease, unspecified type, lymph nodes of inguinal region and lower limb"
II,20196,Neoplasms,Hodgkins dis NOS pelvic,"Hodgkin's disease, unspecified type, intrapelvic lymph nodes"
II,20197,Neoplasms,Hodgkins dis NOS spleen,"Hodgkin's disease, unspecified type, spleen"
II,20198,Neoplasms,Hodgkins dis NOS mult,"Hodgkin's disease, unspecified type, lymph nodes of multiple sites"
II,20200,Neoplasms,Ndlr lym unsp xtrndl org,"Nodular lymphoma, unspecified site, extranodal and solid organ sites"
II,20201,Neoplasms,Nodular lymphoma head,"Nodular lymphoma, lymph nodes of head, face, and neck"
II,20202,Neoplasms,Nodular lymphoma thorax,"Nodular lymphoma, intrathoracic lymph nodes"
II,20203,Neoplasms,Nodular lymphoma abdom,"Nodular lymphoma, intra-abdominal lymph nodes"
II,20204,Neoplasms,Nodular lymphoma axilla,"Nodular lymphoma, lymph nodes of axilla and upper limb"
II,20205,Neoplasms,Nodular lymphoma inguin,"Nodular lymphoma, lymph nodes of inguinal region and lower limb"
II,20206,Neoplasms,Nodular lymphoma pelvic,"Nodular lymphoma, intrapelvic lymph nodes"
II,20207,Neoplasms,Nodular lymphoma spleen,"Nodular lymphoma, spleen"
II,20208,Neoplasms,Nodular lymphoma mult,"Nodular lymphoma, lymph nodes of multiple sites"
II,20210,Neoplasms,Mycs fng unsp xtrndl org,"Mycosis fungoides, unspecified site, extranodal and solid organ sites"
II,20211,Neoplasms,Mycosis fungoides head,"Mycosis fungoides, lymph nodes of head, face, and neck"
II,20212,Neoplasms,Mycosis fungoides thorax,"Mycosis fungoides, intrathoracic lymph nodes"
II,20213,Neoplasms,Mycosis fungoides abdom,"Mycosis fungoides, intra-abdominal lymph nodes"
II,20214,Neoplasms,Mycosis fungoides axilla,"Mycosis fungoides, lymph nodes of axilla and upper limb"
II,20215,Neoplasms,Mycosis fungoides inguin,"Mycosis fungoides, lymph nodes of inguinal region and lower limb"
II,20216,Neoplasms,Mycosis fungoides pelvic,"Mycosis fungoides, intrapelvic lymph nodes"
II,20217,Neoplasms,Mycosis fungoides spleen,"Mycosis fungoides, spleen"
II,20218,Neoplasms,Mycosis fungoides mult,"Mycosis fungoides, lymph nodes of multiple sites"
